"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
,2001-08-23,2001-08-23,0,Storlidbeget,M000316,D044860,Björn,Skyddsjakt,Hona,,Storlidbeget,Jämtlands län (S),7165018,500225,Osäker,,Strömsund (S),,2001-08-23,2001-08-23
,2001-08-24,2001-08-24,0,Fåssjö 3:12,M000318,D044861,Björn,Skyddsjakt,Hane,,Fåssjö 3:12,Jämtlands län (S),6897617,508788,Osäker,43,Härjedalen (S),,2001-08-24,2001-08-24
,2001-08-25,2001-08-25,0,Videlund 1:68,M000319,D044841,Björn,Skyddsjakt,Hane,,"Videlund 1:68, Granö",Västerbottens län (S),7136158,699938,Osäker,,Vindeln (S),,2001-08-25,2001-08-25
,2001-08-26,2001-08-26,0,Berget Rovvåive,M000322,D044846,Björn,Skyddsjakt,Hane,,Berget Rovvåive,Norrbottens län (S),7421985,692488,Osäker,,Jokkmokk (S),,2001-08-26,2001-08-26
,2001-08-28,2001-08-28,0,4 km öster Nautijaur,M000324,D044847,Björn,Skyddsjakt,Hane,,4 km öster Nautijaur,Norrbottens län (S),7422702,689336,Osäker,,Jokkmokk (S),,2001-08-28,2001-08-28
,2001-09-01,2001-09-01,0,Norrsjö 1:1,M000330,D045424,Björn,Skyddsjakt,Hane,,"Norrsjö 1:1, Blackfjället",Jämtlands län (S),7163028,511777,Osäker,,Strömsund (S),,2001-09-01,2001-09-01
,2001-09-03,2001-09-03,0,Giltaurberget,M000332,D044842,Björn,Skyddsjakt,Hane,,Giltaurberget,Västerbottens län (S),7266610,588202,Osäker,,Sorsele (S),,2001-09-03,2001-09-03
,2001-09-03,2001-09-03,0,Selkajärvi,M000337,D045420,Björn,Skyddsjakt,Hane,,Selkajärvi,Norrbottens län (S),7449914,815243,Osäker,,Pajala (S),,2001-09-03,2001-09-03
,2001-09-03,2001-09-03,0,Nagasjökälen 1:10,M000341,D044863,Björn,Skyddsjakt,Hane,,Nagasjökälen 1:10,Jämtlands län (S),7092570,549828,Osäker,,Strömsund (S),,2001-09-03,2001-09-03
,2001-09-04,2001-09-04,0,Sundsjölandet,M000343,D044843,Björn,Skyddsjakt,Hona,,Sundsjölandet,Västerbottens län (S),7092771,676396,Osäker,,Bjurholm (S),,2001-09-04,2001-09-04
,2001-09-04,2001-09-04,0,Ståkke sameby,M000345,D044848,Björn,Skyddsjakt,Hane,,Ståkke sameby,Norrbottens län (S),7351478,634870,Osäker,,Arjeplog (S),,2001-09-04,2001-09-04
,2001-09-05,2001-09-05,0,Granberget,M000353,D044844,Björn,Skyddsjakt,Hane,,"Granberget, Norra Fjosokken",Västerbottens län (S),7286609,572950,Osäker,,Sorsele (S),,2001-09-05,2001-09-05
,2001-09-06,2001-09-06,0,Vänjaurebäck,M000356,D044845,Björn,Skyddsjakt,Hane,,Vänjaurebäck,Västerbottens län (S),7140173,672258,Osäker,,Lycksele (S),,2001-09-06,2001-09-06
,2001-09-15,2001-09-15,0,Grankölmyren,M000364,D044849,Björn,Skyddsjakt,Hane,,Grankölmyren,Värmlands län (S),6748013,376672,Osäker,133,Torsby (S),,2001-09-15,2001-09-15
,2002-04-29,2002-04-29,0,Tandsjöborg,M000393,D045355,Björn,Kollision - järnväg,Hane,,"Tandsjöborg, strax norr om stationen",Gävleborgs län (S),6840939,486441,Osäker,,Ljusdal (S),,2002-04-29,2002-04-29
,2002-05-02,2002-05-02,0,,M000396,D045383,Björn,Kollision - järnväg,Hane,,,Dalarnas län (S),6717171,559932,Osäker,,Säter (S),,2002-05-02,2002-05-02
,2002-07-02,2002-07-02,0,Granstanda,M000404,D045386,Björn,Okänd,Hane,,Granstanda,Gävleborgs län (S),6718406,576283,Osäker,,Sandviken (S),,2002-07-02,2002-07-02
,2002-08-21,2002-08-21,0,Hamnäsberget,M000408,D044880,Björn,Skyddsjakt,Hane,,Hamnäsberget,Värmlands län (S),6750105,379640,Osäker,203,Torsby (S),,2002-08-21,2002-08-21
